Sample,Sequence,SampleGroup,Batch,RunType,IS_D3-Alanine,IS_C13-Phenylalanine,L-Alanine,L-Valine,Leucine,L-Isoleucine,Glycine,L-Serine,L-Threonine,L-Methionine,L-Glutamic acid,Phenylalanine,L-Glutamine,L-Lysine,L-Tyrosine,L-Tryptophan,L-Cystine,Myristic acid,Palmitelaidic acid,Palmitic acid,Linoleic acid,Oleic acid,Stearic acid,Arachidonic acid,meso-Erythritol,Arabitol,Myo-inositol,Xylose,Arabinose,Fructose,Talose (syn),Galactose (1Z),Glucose (1Z),Maltose,Mannitol,Sorbitol,Dulcitol,Maltitol,Ribose,1-Monopalmitin,"1,5-Anhydroglucitol","1,5-Dihydroxyphthalene",2-Ketoisocaproic acid,"2,3,4-Trihydroxybutyric acid","2,5-Furandicarboxylic acid",3-Deoxyhexitol,3-Hydroxybutyric acid,4-Hydroxybenzoic acid,4-Hydroxybutanoic acid,9H-Purin-6-ol,9H-Purine,Acetophenone,"Allonic acid, gamma-lactone",alpha-Tocopherol,Arabinofuranose,Benzoic Acid,Butylphosphonic acid,Cadaverine,Citric acid,D-Gluconic acid,D-Glucopyranose,D-Lactose,D-Xylopyranose,DL-Ornithine,Dodecanoic acid,Eicosapentaenoic Acid,Ethanolamine,Ethyl-alpha-D-glucopyranoside,Gluconolactone ,Glyceric acid,Glycerol monostearate,Glycerol,Glycidyl palmitate,Glycolic acid,Heptadecanoic acid,Hippuric acid,Indol-5-ol,L-Ornithine,Lactic Acid,"Mannonic acid, gamma-lactone",Methyl galactoside,Nonoic acid,Octopamine,p-Cresol,p-Toluenesulfomide,Propanoic acid,Pseudouridine,Ribonic acid,Sucrose,Tartaric acid,Urea
Sample11,14,DM,Batch1,Sample,3415100,2037269,3170319,3053960,918680,814776,4821911,993727,372733,25699,515342,288420,521188,1504076,1116557,812353,138806,209877,217594,6118020,2107900,640703,2931493.333,429961,188777,108566,1050988,234697,64903,528393,385769,2196740,3305210,30309,597567,451463.5,216145.5,1288715.5,,169969,749999,23544.5,485905,236556,71616,96481,2390692,13096,2201206,136464,1411659,403682,1123832,291845,276992,44832,54337,548907,1397937,,672972,47643,48862.5,181951,123465,186663,202892,30111,88687.5,562025,45139,1519722,140250,518280,,,134108,1247385,10965073,460233,367388,,4662679,206828,,396672,,,,95713.5,
Sample14,71,DM,Batch1,Sample,6082869,4748038,5167928,4157701,1654664,1944423,8951802,1700049,1345605,113987,1279543,683323,257640,1774938,1464244,2271782,666615,323274,361919,6630632,3335402,1064615,4970511.333,1218482,360767,333345,1560961,546400,64903,646225,277322,3717162,5130238,100012,597567,451463.5,216145.5,1288715.5,,368471,6646851,23544.5,188503,427771,71616,96481,2613834,13096,5273726,274252,6177947,1728861,1019677,648085,1167305,198525,126973,1405467,4709386,,435211,47643,48862.5,755011,371859,358662,544093,30111,88687.5,1161100,135513,3647280,,1858581,107859,136052,134108,1852906,29669474,,1173326,324507,9933032,333255,58026,1342208,91278,,118313,95713.5,39187652
Sample16,19,DM,Batch2,Sample,13975619,9542307,12652652,10157293,4233637,4360674,15887765,1618190,1339400,179940,1529078,1267681,2437829,3351075,1560039,4360124,678351,329432,354133,11081487,3689275,1170099,8138255.333,1466426,617464,360767,2313186,913831,210903,2357517,1667533,5191885,7204288,117795,597567,451463.5,216145.5,1288715.5,129217,520261,11224798,23544.5,1397950,675458,71616,96481,4769385,13096,,287460,7309683,1288295,,791745,744015,308249,205506,2399700,6268658,248306,849296,47643,48862.5,420724,367191,839882,425033,30111,88687.5,1057269,196217,4379790,318919,1575162,152410,202462,134108,2861532,56208538,2724127,671442,,17252696,298043,135930,2458956,138227,280335,,95713.5,
Sample19,22,DM,Batch2,Sample,9085672,3666341,6794018,7467285,2556196,2042248,8604241,1953937,883362,64297,1015032,494055,1611472,2548459,3087620,2606534,367200,723351,867767,13899839,5379323,2192088,8179199.333,1460811,810032,302433,2121990,688802,226336,1560043,600588,674948,5754857,96187,597567,451463.5,216145.5,1288715.5,143862,507142,556578,23544.5,1216462,551851,71616,96481,8305491,13096,5006734,324979,3522278,1277348,,834687,262087,169166,154136,1250028,7869321,179297,13140611,47643,48862.5,779888,504215,635542,,30111,88687.5,1129336,186253,6717613,361615,1523000,160132,104984,134108,2746074,52685961,,283200,147669,9635686,684195,88363,1769772,111580,434505,,95713.5,
Sample2,3,DM,Batch1,Sample,10537333,5921050,9922620,7417718,2350782,1553327,7238233,1019045,907831,129475,1093062,837211,1987725,3521100,714025,2861013,629781,498344,340808,10003875,5477010,1390736,5730991.333,886740,695343,348852,2017029,426304,64903,1513212,1319975,4954633,4542914,94191,597567,451463.5,216145.5,1288715.5,,418355,1607751,23544.5,1907723,459152,71616,96481,3191240,13096,3728455,267835,7743580,786792,1663390,2020657,,112666,81615,1158133,5458089,195651,817835,47643,48862.5,202941,242903,527831,186585,30111,88687.5,905782,113579,4673401,141237,833476,99985,,134108,1955484,16512375,1811354,734464,202386,8340997,217481,,1377133,,,,95713.5,24036328
Sample22,26,DM,Batch2,Sample,11889313,8645801,8521005,7217425,3126217,3447771,12162215,1762119,1318058,174678,1787828,1169190,3210533,3565491,1625945,4458626,511759,538414,611212,13427263,4836323,1730734,7995350.333,1419375,643502,363413,2636338,673250,223635,1404632,1138686,4996478,6675144,185891,597567,451463.5,216145.5,1288715.5,68791,654907,5572221,23544.5,290327,821936,71616,96481,6985418,13096,6207652,376185,9007376,1097112,,847092,741009,297203,255849,1921161,5134063,200257,4061778,47643,48862.5,609323,328983,781206,,30111,88687.5,1312963,245167,5698213,454109,1422548,318459,157666,134108,3456738,49261187,1135050,664790,,15097693,231959,119106,2757711,187081,,124962,95713.5,66162871
Sample26,31,DM,Batch2,Sample,10882526,8725477,7748819,6848849,2695131,2420047,11577713,2335574,977142,127688,1331895,1187656,3152446,3225008,3345070,5440345,441404,444904,491360,11438769,4392804,1683501,8250965.333,1686141,524204,415380,2371371,633845,187707,1946506,1572111,4804216,6240426,96416,597567,451463.5,216145.5,1288715.5,63408,805553,8668226,23544.5,276505,751823,71616,96481,3188033,13096,5816165,242819,8310129,979596,,1155783,802776,243054,203285,1990521,3922407,382084,8552720,47643,48862.5,483386,392987,691548,344101,30111,88687.5,1660309,269709,4182664,446418,1730056,314002,279516,134108,2981569,46689844,1366303,527120,319870,13578788,472977,1198082,1624748,156994,,,95713.5,
Sample28,33,DM,Batch2,Sample,14681105,10995483,8295007,11195766,3985251,2796805,13260710,1773957,1417850,278471,1057690,1599764,5103766,4191774,2166750,6690694,863731,491714,584176,12515539,4515824,1787606,8349933.333,2506160,808063,479698,2541716,613591,191606,1811131,1912225,7239183,5554999,177852,597567,451463.5,216145.5,1288715.5,,782498,7393220,23544.5,2408725,645865,71616,96481,10885778,13096,2154331,1184253,9133231,1759897,,1534186,1232928,195463,239096,2033940,5418874,197807,5070316,47643,48862.5,826252,454014,913002,,30111,88687.5,1350090,301740,6777902,524211,1716752,272734,146806,134108,5110745,47307086,,942413,416716,10301673,253917,203990,1843214,208350,,,95713.5,
Sample32,39,DM,Batch3,Sample,4577472,1502398,2840568,3110116,1263148,1100289,7796459,862888,497476,28123,502070,196920,283200,710380,362422,858616,92675,198652,155275,4995526,2821304,664418,2884070.333,355287,220884,141385,1044488,196935,64903,604122,314441,2506168,2884944,52398,597567,451463.5,216145.5,1288715.5,,170184,865011,23544.5,147865,274340,71616,96481,2731655,13096,3283876,60045,1147628,1355272,,366990,311327,133727,70089,684693,2705280,180777,202160,47643,48862.5,176346,168058,139214,,30111,88687.5,982186,65170,2674461,,716269,,,134108,548157,29245358,375602,578799,,5256921,175124,41109,1423166,,,73678,95713.5,30814697
Sample33,40,DM,Batch3,Sample,5216190,1859521,4574735,4490102,1426287,1312775,5962398,1192283,312328,26098,555566,262186,646383,1128929,313705,1030906,116910,298332,167422,6418452,2464035,682635,3817322.333,522562,433549,165400,1380858,460782,105465,1426839,1358296,4751312,4630282,83602,597567,451463.5,216145.5,1288715.5,,150305,1645617,23544.5,679294,341068,71616,96481,3576724,13096,,48980,1752826,698707,,331238,587612,104087,65690,674038,2829052,,761049,47643,48862.5,276300,281577,202985,316034,30111,88687.5,601638,55665,3430628,,1030145,115738,,134108,1349326,31191036,1316302,496966,,5318320,351809,,1446716,,,,95713.5,37444236
Sample36,44,DM,Batch3,Sample,8841697,5330610,5906927,5438714,2907953,2719462,7215807,1327912,809424,91336,1466927,669364,1744265,1693300,770530,2226069,527320,394723,346709,8027714,4530669,1179100,5276781.333,1251064,794199,354358,1311302,554526,186945,843009,610916,3874068,4862396,56274,597567,451463.5,216145.5,1288715.5,,322116,5857059,23544.5,219677,569339,71616,96481,4846092,13096,,208072,7448271,1248613,,611011,872736,173541,119518,1288503,5150079,,581257,47643,48862.5,373197,249063,467154,442185,30111,88687.5,652786,126321,3728265,291641,1635463,131412,197473,134108,2057615,30687455,998257,550020,610840,8663506,1307285,97701,1858501,137089,,,95713.5,29798673
Sample39,47,DM,Batch3,Sample,4767281,2083292,3330771,3787447,954234,1081679,5024920,639150,502337,28518,752437,243055,716852,1125493,1196181,1089958,130772,165750,220751,6738454,2290432,742250,4290907.333,749432,396193,168558,1082795,301040,90810,559928,482707,2447834,4024904,59222,597567,451463.5,216145.5,1288715.5,,211608,1847501,23544.5,94873,282352,71616,96481,1982656,13096,2566209,44610,2578585,783410,1222690,326222,188910,117530,63517,644147,2731417,,390706,47643,48862.5,302710,133678,305041,296487,30111,88687.5,586670,78249,1624702,,933881,,97786,134108,1434559,24026623,626190,301663,94282,4497896,122151,78329,1298577,,,,95713.5,
Sample4,5,DM,Batch1,Sample,10525051,7604187,8482475,6051609,1865726,1516668,10803267,1578081,2003462,235950,784240,896185,2844176,3679856,1152346,2892932,487338,615252,538050,8614875,5118472,1319529,5135379.333,1043895,352980,288892,1869024,419371,64903,843444,375284,3836185,5072033,30309,597567,451463.5,216145.5,1288715.5,,365519,2625775,23544.5,241205,404300,71616,96481,2131594,13096,3921341,209656,5339857,763643,1924130,489088,727264,119971,93888,1305117,6322439,157189,1023113,47643,48862.5,407338,427735,585975,508557,30111,88687.5,1169810,133435,4991803,,,168217,,134108,2019728,14927480,1762136,675203,,10213614,314326,,2772749,71265,,,95713.5,21283723
